data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2023-04-25;America Fc S.a.f. - MG;0.02092;0.02693;0.02985;0.03272;0.03505;0.03731;0.03908;0.04059;0.04354;0.04604;0.04827;0.05068;0.05332;0.05631;0.06062;0.06422;0.06745;0.07284;0.08027;0.09399
2023-04-25;Athletico Paranaense - PR;0.04844;0.05096;0.051;0.05108;0.05208;0.05192;0.05182;0.05299;0.05175;0.05246;0.05162;0.05004;0.05093;0.05086;0.05021;0.04867;0.04827;0.04726;0.04623;0.04141
2023-04-25;Atlético Mineiro - MG;0.02779;0.03231;0.03493;0.03729;0.03881;0.04093;0.04344;0.04474;0.04698;0.04845;0.04936;0.05299;0.05451;0.05628;0.05821;0.05974;0.06323;0.06543;0.0696;0.07498
2023-04-25;Bahia - BA;0.02066;0.02669;0.02976;0.03293;0.03495;0.03658;0.039;0.04227;0.04493;0.04683;0.04899;0.05121;0.05414;0.05566;0.05839;0.06382;0.06758;0.0726;0.07995;0.09306
2023-04-25;Botafogo - RJ;0.10281;0.08526;0.07553;0.07116;0.06601;0.06124;0.05719;0.05394;0.0507;0.04782;0.04564;0.04248;0.03851;0.03851;0.03571;0.03215;0.02925;0.0263;0.02274;0.01705
2023-04-25;Corinthians - SP;0.04887;0.051;0.05142;0.0509;0.05154;0.05275;0.05214;0.05192;0.05206;0.05078;0.05097;0.05184;0.05059;0.04878;0.05049;0.04895;0.04833;0.04818;0.04525;0.04324
2023-04-25;Coritiba S.a.f. - PR;0.02092;0.0253;0.029;0.03134;0.03544;0.037;0.03955;0.0414;0.04403;0.04611;0.04796;0.05249;0.05363;0.05811;0.05912;0.06435;0.06748;0.07179;0.07948;0.0955
2023-04-25;Cruzeiro Saf - MG;0.04933;0.0504;0.05225;0.0508;0.05148;0.05189;0.05251;0.05017;0.05165;0.05108;0.05188;0.0524;0.05091;0.04968;0.05001;0.04901;0.04762;0.04814;0.04667;0.04212
2023-04-25;Cuiabá Saf - MT;0.02677;0.03221;0.03566;0.03716;0.03915;0.04239;0.04338;0.04544;0.0467;0.04868;0.05011;0.05168;0.05427;0.05628;0.05821;0.06104;0.0619;0.06595;0.06834;0.07468
2023-04-25;Flamengo - RJ;0.0503;0.0507;0.05116;0.053;0.05161;0.05188;0.05279;0.051;0.05162;0.05285;0.05087;0.05169;0.05081;0.05016;0.04856;0.04893;0.04899;0.04687;0.04404;0.04217
