data;time;pos;chance
2022-04-16;América Fc Saf - MG;1;0.06
2022-04-16;América Fc Saf - MG;2;0.04
2022-04-16;América Fc Saf - MG;3;0.04
2022-04-16;América Fc Saf - MG;4;0.04
2022-04-16;América Fc Saf - MG;5;0.02
2022-04-16;América Fc Saf - MG;6;0.06
2022-04-16;América Fc Saf - MG;7;0.05
2022-04-16;América Fc Saf - MG;8;0.07
2022-04-16;América Fc Saf - MG;9;0.07
2022-04-16;América Fc Saf - MG;10;0.1
2022-04-16;América Fc Saf - MG;11;0.04
2022-04-16;América Fc Saf - MG;12;0.02
2022-04-16;América Fc Saf - MG;13;0.03
2022-04-16;América Fc Saf - MG;14;0.07
2022-04-16;América Fc Saf - MG;15;0.06
2022-04-16;América Fc Saf - MG;16;0.03
2022-04-16;América Fc Saf - MG;17;0.04
2022-04-16;América Fc Saf - MG;18;0.02
2022-04-16;América Fc Saf - MG;19;0.09
2022-04-16;América Fc Saf - MG;20;0.05
2022-04-16;Athletico Paranaense - PR;1;0.02
2022-04-16;Athletico Paranaense - PR;2;0.04
2022-04-16;Athletico Paranaense - PR;3;0.07
2022-04-16;Athletico Paranaense - PR;4;0.03
2022-04-16;Athletico Paranaense - PR;5;0.06
2022-04-16;Athletico Paranaense - PR;6;0.05
2022-04-16;Athletico Paranaense - PR;7;0.08
2022-04-16;Athletico Paranaense - PR;8;0.04
2022-04-16;Athletico Paranaense - PR;9;0.09
2022-04-16;Athletico Paranaense - PR;10;0.03
2022-04-16;Athletico Paranaense - PR;11;0.07
2022-04-16;Athletico Paranaense - PR;12;0.04
2022-04-16;Athletico Paranaense - PR;13;0.05
2022-04-16;Athletico Paranaense - PR;14;0.08
2022-04-16;Athletico Paranaense - PR;15;0.04
2022-04-16;Athletico Paranaense - PR;16;0.03
2022-04-16;Athletico Paranaense - PR;17;0.01
2022-04-16;Athletico Paranaense - PR;18;0.04
2022-04-16;Athletico Paranaense - PR;19;0.04
2022-04-16;Athletico Paranaense - PR;20;0.09
2022-04-16;Atlético - GO;1;0.03
2022-04-16;Atlético - GO;2;0.06
2022-04-16;Atlético - GO;3;0.04
2022-04-16;Atlético - GO;4;0.02
2022-04-16;Atlético - GO;5;0.03
2022-04-16;Atlético - GO;6;0.01
2022-04-16;Atlético - GO;7;0.05
2022-04-16;Atlético - GO;8;0.04
2022-04-16;Atlético - GO;9;0.04
2022-04-16;Atlético - GO;10;0.06
2022-04-16;Atlético - GO;11;0.03
2022-04-16;Atlético - GO;12;0.07
2022-04-16;Atlético - GO;13;0.06
2022-04-16;Atlético - GO;14;0.08
2022-04-16;Atlético - GO;15;0.07
2022-04-16;Atlético - GO;16;0.03
2022-04-16;Atlético - GO;17;0.04
2022-04-16;Atlético - GO;18;0.13
2022-04-16;Atlético - GO;19;0.06
2022-04-16;Atlético - GO;20;0.05
2022-04-16;Atlético Mineiro - MG;1;0.05
2022-04-16;Atlético Mineiro - MG;2;0.07
2022-04-16;Atlético Mineiro - MG;3;0.05
2022-04-16;Atlético Mineiro - MG;4;0.1
2022-04-16;Atlético Mineiro - MG;5;0.06
2022-04-16;Atlético Mineiro - MG;6;0.08
2022-04-16;Atlético Mineiro - MG;7;0.08
2022-04-16;Atlético Mineiro - MG;8;0.04
2022-04-16;Atlético Mineiro - MG;9;0.03
2022-04-16;Atlético Mineiro - MG;10;0.04
2022-04-16;Atlético Mineiro - MG;11;0.05
2022-04-16;Atlético Mineiro - MG;12;0.03
2022-04-16;Atlético Mineiro - MG;13;0.03
2022-04-16;Atlético Mineiro - MG;14;0.04
2022-04-16;Atlético Mineiro - MG;15;0.03
2022-04-16;Atlético Mineiro - MG;16;0.04
2022-04-16;Atlético Mineiro - MG;17;0.06
2022-04-16;Atlético Mineiro - MG;18;0.05
2022-04-16;Atlético Mineiro - MG;19;0.05
2022-04-16;Atlético Mineiro - MG;20;0.02
2022-04-16;Avaí - SC;1;0.04
2022-04-16;Avaí - SC;2;0.05
2022-04-16;Avaí - SC;3;0.07
2022-04-16;Avaí - SC;4;0.03
2022-04-16;Avaí - SC;5;0.04
2022-04-16;Avaí - SC;6;0.08
2022-04-16;Avaí - SC;7;0.04
2022-04-16;Avaí - SC;8;0.0
2022-04-16;Avaí - SC;9;0.1
2022-04-16;Avaí - SC;10;0.04
2022-04-16;Avaí - SC;11;0.04
2022-04-16;Avaí - SC;12;0.06
2022-04-16;Avaí - SC;13;0.11
2022-04-16;Avaí - SC;14;0.01
2022-04-16;Avaí - SC;15;0.04
2022-04-16;Avaí - SC;16;0.05
2022-04-16;Avaí - SC;17;0.04
2022-04-16;Avaí - SC;18;0.07
2022-04-16;Avaí - SC;19;0.05
2022-04-16;Avaí - SC;20;0.04
2022-04-16;Botafogo - RJ;1;0.02
2022-04-16;Botafogo - RJ;2;0.04
2022-04-16;Botafogo - RJ;3;0.08
2022-04-16;Botafogo - RJ;4;0.04
2022-04-16;Botafogo - RJ;5;0.03
2022-04-16;Botafogo - RJ;6;0.04
2022-04-16;Botafogo - RJ;7;0.03
2022-04-16;Botafogo - RJ;8;0.04
2022-04-16;Botafogo - RJ;9;0.04
2022-04-16;Botafogo - RJ;10;0.03
2022-04-16;Botafogo - RJ;11;0.06
2022-04-16;Botafogo - RJ;12;0.06
2022-04-16;Botafogo - RJ;13;0.03
2022-04-16;Botafogo - RJ;14;0.04
2022-04-16;Botafogo - RJ;15;0.09
2022-04-16;Botafogo - RJ;16;0.04
2022-04-16;Botafogo - RJ;17;0.05
2022-04-16;Botafogo - RJ;18;0.07
2022-04-16;Botafogo - RJ;19;0.04
2022-04-16;Botafogo - RJ;20;0.13
2022-04-16;Ceará - CE;1;0.1
2022-04-16;Ceará - CE;2;0.09
2022-04-16;Ceará - CE;3;0.06
2022-04-16;Ceará - CE;4;0.06
2022-04-16;Ceará - CE;5;0.07
2022-04-16;Ceará - CE;6;0.04
2022-04-16;Ceará - CE;7;0.06
2022-04-16;Ceará - CE;8;0.09
2022-04-16;Ceará - CE;9;0.07
2022-04-16;Ceará - CE;10;0.03
2022-04-16;Ceará - CE;11;0.04
2022-04-16;Ceará - CE;12;0.06
2022-04-16;Ceará - CE;13;0.05
2022-04-16;Ceará - CE;14;0.03
2022-04-16;Ceará - CE;15;0.03
2022-04-16;Ceará - CE;16;0.04
2022-04-16;Ceará - CE;17;0.04
2022-04-16;Ceará - CE;18;0.02
2022-04-16;Ceará - CE;19;0.01
2022-04-16;Ceará - CE;20;0.01
2022-04-16;Corinthians - SP;1;0.09
2022-04-16;Corinthians - SP;2;0.05
2022-04-16;Corinthians - SP;3;0.14
2022-04-16;Corinthians - SP;4;0.04
2022-04-16;Corinthians - SP;5;0.04
2022-04-16;Corinthians - SP;6;0.12
2022-04-16;Corinthians - SP;7;0.07
2022-04-16;Corinthians - SP;8;0.04
2022-04-16;Corinthians - SP;9;0.06
2022-04-16;Corinthians - SP;10;0.05
2022-04-16;Corinthians - SP;11;0.04
2022-04-16;Corinthians - SP;12;0.03
2022-04-16;Corinthians - SP;13;0.05
2022-04-16;Corinthians - SP;14;0.06
2022-04-16;Corinthians - SP;15;0.04
2022-04-16;Corinthians - SP;16;0.01
2022-04-16;Corinthians - SP;17;0.04
2022-04-16;Corinthians - SP;18;0.01
2022-04-16;Corinthians - SP;19;0.02
2022-04-16;Corinthians - SP;20;0.0
2022-04-16;Coritiba - PR;1;0.09
2022-04-16;Coritiba - PR;2;0.04
2022-04-16;Coritiba - PR;3;0.02
2022-04-16;Coritiba - PR;4;0.05
2022-04-16;Coritiba - PR;5;0.06
2022-04-16;Coritiba - PR;6;0.06
2022-04-16;Coritiba - PR;7;0.05
2022-04-16;Coritiba - PR;8;0.04
2022-04-16;Coritiba - PR;9;0.02
2022-04-16;Coritiba - PR;10;0.05
2022-04-16;Coritiba - PR;11;0.08
2022-04-16;Coritiba - PR;12;0.02
2022-04-16;Coritiba - PR;13;0.09
2022-04-16;Coritiba - PR;14;0.03
2022-04-16;Coritiba - PR;15;0.1
2022-04-16;Coritiba - PR;16;0.04
2022-04-16;Coritiba - PR;17;0.06
2022-04-16;Coritiba - PR;18;0.04
2022-04-16;Coritiba - PR;19;0.05
2022-04-16;Coritiba - PR;20;0.01
2022-04-16;Cuiabá Saf - MT;1;0.08
2022-04-16;Cuiabá Saf - MT;2;0.06
2022-04-16;Cuiabá Saf - MT;3;0.04
2022-04-16;Cuiabá Saf - MT;4;0.1
