data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2020-08-10;Athletico Paranaense - PR;0.08273;0.07419;0.06961;0.06438;0.0611;0.0589;0.05628;0.05366;0.05141;0.04866;0.04708;0.04478;0.04365;0.04286;0.03934;0.03779;0.03517;0.03428;0.0295;0.02463
2020-08-10;Atlético - GO;0.04978;0.04955;0.04907;0.04908;0.04991;0.0509;0.0497;0.05136;0.05081;0.05086;0.0516;0.05127;0.04895;0.04909;0.05002;0.05066;0.04913;0.05003;0.04906;0.04917
2020-08-10;Atlético - MG;0.08348;0.07441;0.0681;0.06232;0.06003;0.05827;0.05654;0.05385;0.05135;0.0502;0.04866;0.0463;0.0429;0.04208;0.03981;0.03777;0.03558;0.03401;0.02976;0.02458
2020-08-10;Bahia - BA;0.04833;0.04966;0.05072;0.05;0.04939;0.05064;0.05164;0.0509;0.04964;0.0508;0.04974;0.05018;0.04946;0.04916;0.0524;0.0496;0.0499;0.04912;0.0504;0.04832
2020-08-10;Botafogo - RJ;0.04888;0.04762;0.04919;0.04927;0.05108;0.05099;0.05001;0.0514;0.05021;0.0511;0.04974;0.05066;0.05113;0.05073;0.05016;0.04947;0.05098;0.0498;0.04992;0.04766
2020-08-10;Ceará - CE;0.03927;0.04133;0.04368;0.04535;0.04583;0.04733;0.04818;0.04813;0.04979;0.05034;0.05046;0.05261;0.05089;0.05283;0.05331;0.05527;0.05638;0.05514;0.0566;0.05728
2020-08-10;Corinthians - SP;0.04804;0.0492;0.04958;0.0504;0.04954;0.05025;0.04965;0.05045;0.0511;0.05025;0.05047;0.05102;0.04939;0.05137;0.0511;0.0497;0.05056;0.05034;0.04778;0.04981
2020-08-10;Coritiba - PR;0.02743;0.03059;0.03427;0.03688;0.03947;0.04084;0.04176;0.04518;0.04489;0.04872;0.05053;0.05126;0.05436;0.0561;0.0572;0.05985;0.06231;0.06691;0.07105;0.0804
2020-08-10;Flamengo - RJ;0.02731;0.0317;0.03552;0.03766;0.0394;0.04063;0.04325;0.04447;0.0464;0.04692;0.05006;0.05172;0.05357;0.05455;0.05775;0.0616;0.06273;0.06573;0.06976;0.07927
2020-08-10;Fluminense - RJ;0.03791;0.04149;0.04491;0.04517;0.04629;0.04855;0.0485;0.0494;0.05143;0.05039;0.05109;0.05057;0.05342;0.05287;0.05233;0.05352;0.05414;0.05587;0.05582;0.05633
2020-08-10;Fortaleza - CE;0.02674;0.03117;0.03387;0.03784;0.03964;0.0399;0.04311;0.04451;0.04792;0.04721;0.04995;0.05114;0.05437;0.05577;0.05725;0.06131;0.06132;0.06599;0.07128;0.07971
2020-08-10;Goiás - GO;0.04823;0.04985;0.04967;0.05197;0.05069;0.04971;0.0497;0.04975;0.05082;0.05046;0.05011;0.04985;0.05055;0.04902;0.05004;0.05075;0.05055;0.04899;0.0501;0.04919
2020-08-10;Grêmio - RS;0.05839;0.05925;0.05662;0.05661;0.05516;0.05407;0.05429;0.05265;0.0504;0.05181;0.05089;0.04928;0.04817;0.04835;0.04725;0.04536;0.04474;0.04181;0.03969;0.03521
2020-08-10;Internacional - RS;0.08257;0.07306;0.06741;0.06456;0.06095;0.05978;0.05438;0.05374;0.05271;0.04947;0.04773;0.04487;0.04485;0.04231;0.0393;0.03786;0.03558;0.03299;0.03021;0.02567
2020-08-10;Palmeiras - SP;0.04807;0.04889;0.04941;0.05012;0.05126;0.05075;0.04945;0.04864;0.04927;0.05044;0.04974;0.04971;0.05289;0.05097;0.05056;0.04919;0.05085;0.05018;0.05056;0.04905
2020-08-10;Red Bull Bragantino - SP;0.04997;0.05044;0.04952;0.05069;0.04955;0.05119;0.05145;0.05218;0.05033;0.05036;0.05014;0.0513;0.05008;0.05061;0.05054;0.05;0.04899;0.04805;0.04879;0.04582
2020-08-10;Santos - SP;0.03472;0.03845;0.04018;0.04202;0.04403;0.0448;0.04796;0.04708;0.04941;0.05102;0.05047;0.05221;0.05258;0.05477;0.05484;0.05668;0.05671;0.05842;0.06033;0.06332
2020-08-10;Sport - PE;0.05997;0.05952;0.05774;0.0556;0.05539;0.05372;0.05393;0.05338;0.05267;0.05047;0.05099;0.04941;0.04831;0.04652;0.04563;0.04426;0.04426;0.04254;0.04017;0.03552
2020-08-10;São Paulo - SP;0.04841;0.04955;0.04948;0.04973;0.0505;0.04951;0.05038;0.05058;0.04957;0.04936;0.0506;0.05115;0.05067;0.05043;0.05064;0.04956;0.0499;0.04973;0.05066;0.04959
2020-08-10;Vasco da Gama - RJ;0.04977;0.05008;0.05145;0.05035;0.05079;0.04927;0.04984;0.04869;0.04987;0.05116;0.04995;0.05071;0.04981;0.04961;0.05053;0.0498;0.05022;0.05007;0.04856;0.04947
