data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2019-05-25;ATH;0.0304;0.0396;0.0422;0.04525;0.04625;0.0478;0.05195;0.05105;0.05325;0.0541;0.0541;0.05405;0.0572;0.056;0.0553;0.05665;0.0539;0.05745;0.05115;0.04235;
2019-05-25;ATL;0.0957;0.08815;0.0845;0.0782;0.0693;0.0671;0.0588;0.05775;0.0504;0.05215;0.04555;0.043;0.04175;0.0363;0.03245;0.0292;0.02405;0.0202;0.0153;0.01015;
2019-05-25;AVA;0.01155;0.0189;0.02305;0.0257;0.02865;0.0324;0.03935;0.042;0.04265;0.047;0.0523;0.0502;0.0569;0.0569;0.0646;0.0676;0.076;0.0811;0.0882;0.09495;
2019-05-25;BAH;0.0435;0.04745;0.0525;0.05585;0.05845;0.0563;0.05625;0.05555;0.05495;0.0528;0.05545;0.05465;0.05295;0.0508;0.05;0.0451;0.04225;0.04175;0.0401;0.03335;
2019-05-25;BOT;0.0433;0.04765;0.05275;0.05695;0.05545;0.0573;0.0605;0.0581;0.0568;0.05355;0.05645;0.0553;0.0521;0.04945;0.05145;0.04655;0.04455;0.03995;0.0338;0.02805;
2019-05-25;CEA;0.02295;0.0305;0.03505;0.03975;0.04295;0.0452;0.0456;0.0469;0.0518;0.05195;0.0541;0.05745;0.05965;0.05785;0.0601;0.06115;0.0611;0.06;0.05935;0.0566;
2019-05-25;CHA;0.01215;0.01795;0.0219;0.02805;0.02805;0.03345;0.03535;0.038;0.0432;0.0476;0.04855;0.0509;0.05195;0.05855;0.06325;0.07205;0.07555;0.08295;0.092;0.09855;
2019-05-25;COR;0.05575;0.06225;0.0639;0.06025;0.06025;0.0596;0.05845;0.05875;0.05805;0.05365;0.05095;0.05145;0.04795;0.0471;0.0459;0.03965;0.0366;0.0355;0.0305;0.0235;
2019-05-25;CRU;0.0332;0.0426;0.0467;0.04775;0.0492;0.05065;0.05265;0.05385;0.053;0.0533;0.0536;0.05615;0.05415;0.0539;0.05435;0.0521;0.0531;0.05065;0.0489;0.0402;
2019-05-25;CSA;0.0116;0.0172;0.0227;0.024;0.0288;0.0336;0.03475;0.0408;0.04045;0.0445;0.05415;0.0534;0.05405;0.06035;0.0641;0.0709;0.0757;0.0786;0.0862;0.10415;
2019-05-25;FLA;0.04355;0.04845;0.04995;0.05425;0.0615;0.05495;0.05865;0.05545;0.05765;0.05485;0.0538;0.0515;0.04995;0.05365;0.05045;0.0471;0.043;0.04125;0.0396;0.03045;
2019-05-25;FLU;0.0239;0.03165;0.0364;0.0399;0.0405;0.0463;0.04795;0.04955;0.04955;0.05125;0.05355;0.05605;0.05585;0.057;0.05935;0.0589;0.06245;0.0628;0.059;0.0581;
2019-05-25;FOR;0.03495;0.04135;0.0457;0.0497;0.05085;0.0541;0.05105;0.053;0.05525;0.05275;0.05665;0.0538;0.05425;0.0535;0.05125;0.0541;0.05325;0.04915;0.04615;0.0392;
2019-05-25;GOI;0.0576;0.05885;0.0603;0.062;0.0608;0.0583;0.05605;0.05565;0.0573;0.05505;0.0527;0.0491;0.05065;0.0472;0.04345;0.04255;0.039;0.0374;0.0322;0.02385;
2019-05-25;GRE;0.0109;0.01855;0.02165;0.0252;0.03045;0.03395;0.0336;0.04205;0.0409;0.0485;0.04795;0.05545;0.05855;0.0629;0.0638;0.06845;0.07715;0.0773;0.08525;0.09745;
2019-05-25;INT;0.05185;0.061;0.06005;0.05835;0.05915;0.0599;0.06135;0.05885;0.05465;0.0546;0.0523;0.05245;0.05015;0.04585;0.044;0.04445;0.0403;0.03625;0.03075;0.02375;
2019-05-25;PAL;0.23055;0.14865;0.10765;0.0858;0.07265;0.0582;0.04905;0.04255;0.03815;0.03395;0.02645;0.02215;0.02075;0.01785;0.01285;0.01155;0.0082;0.00625;0.0047;0.00205;
2019-05-25;SAN;0.0949;0.0875;0.08005;0.07475;0.0695;0.06395;0.06175;0.0563;0.05415;0.0494;0.0454;0.0439;0.04185;0.03595;0.03345;0.0286;0.0263;0.02325;0.0177;0.01135;
2019-05-25;SAO;0.0873;0.08245;0.0796;0.0723;0.0684;0.0673;0.0599;0.0555;0.0543;0.0512;0.0468;0.0437;0.03885;0.0408;0.0359;0.0314;0.02755;0.0242;0.01955;0.013;
2019-05-25;VAS;0.0044;0.0093;0.0134;0.016;0.01885;0.01965;0.027;0.02835;0.03355;0.03785;0.0392;0.04535;0.0505;0.0581;0.064;0.07195;0.08;0.094;0.1196;0.16895;
2019-05-26;ATH;0.02465;0.0326;0.035;0.04265;0.0431;0.0458;0.0464;0.0506;0.051;0.05355;0.0552;0.0566;0.05625;0.0593;0.05695;0.06055;0.05795;0.05985;0.0584;0.0536;
2019-05-26;ATL;0.0971;0.0872;0.08465;0.07665;0.06985;0.0698;0.0605;0.0575;0.0509;0.05;0.04475;0.0435;0.0405;0.03515;0.03165;0.0283;0.0259;0.0194;0.0156;0.0111;
2019-05-26;AVA;0.01235;0.01835;0.02365;0.0271;0.0282;0.0337;0.03635;0.04205;0.0395;0.04855;0.0472;0.0524;0.05385;0.05565;0.0654;0.0688;0.07835;0.0805;0.08885;0.0992;
2019-05-26;BAH;0.05865;0.06495;0.06235;0.0651;0.0603;0.0599;0.0596;0.05875;0.0564;0.05185;0.05195;0.0521;0.0489;0.0454;0.0424;0.04125;0.0365;0.0343;0.028;0.02135;
2019-05-26;BOT;0.04395;0.05335;0.0544;0.05625;0.06005;0.05415;0.05725;0.0555;0.0568;0.05495;0.05535;0.0532;0.053;0.049;0.04785;0.0455;0.0422;0.04145;0.03655;0.02925;
2019-05-26;CEA;0.02215;0.03305;0.0357;0.04;0.04355;0.0452;0.0486;0.0506;0.04865;0.0493;0.0546;0.0555;0.05515;0.05565;0.05935;0.06315;0.06095;0.0601;0.06185;0.0569;
2019-05-26;CHA;0.0241;0.03;0.03735;0.03785;0.0444;0.0433;0.04725;0.051;0.05;0.0531;0.05395;0.0581;0.05935;0.0602;0.0581;0.0592;0.06255;0.0601;0.05885;0.05125;
2019-05-26;COR;0.0713;0.0729;0.06985;0.0704;0.06785;0.06315;0.05955;0.0565;0.05555;0.0501;0.0528;0.04875;0.0441;0.04225;0.0402;0.03615;0.0334;0.02715;0.0221;0.01595;
2019-05-26;CRU;0.0183;0.0253;0.0278;0.03425;0.03885;0.0378;0.04115;0.0451;0.0509;0.05025;0.05205;0.05485;0.05825;0.06195;0.0605;0.0637;0.06485;0.06785;0.07195;0.07435;
